term,pos,notes,is_case_sensitive,translation_nl
identifier,noun,,TRUE,identificatiekenmerk
fleet level,noun,,TRUE,wagenparkniveau
identifiers,noun,,TRUE,identificatiekenmerken
Edit Configuration Parameters for Alerts,noun,,FALSE,Configuratieparameters voor Waarschuwingen Bewerken
stitched,adjective,,TRUE,
Apply Stitch,adjective,,TRUE,Samenvoegen
Stitch Video Request Review,adjective,,FALSE,Aanvraagoverzicht Videosamenvoeging
Proceed to Stitch,adjective,,FALSE,Samenvoegen Bevestigen
Stitched Videos,adjective,,FALSE,Samengevoegde Video's
Category of Drivers,adjective,,FALSE,Bestuurderscategorie
Recurring Report Frequency,adjective,,FALSE,Frequentie van Terugkerende Rapporten
Weekly Working Hours Overview,adjective,,FALSE,Overzicht Wekelijkse Werkuren
Vehicle Activity Report,adjective,,FALSE,Rapport Voertuigactiviteiten
Driver &amp; User Activity Report,adjective,,FALSE,Rapport Bestuurder- &amp; Gebruikersactiviteiten
Request Report,adjective,,FALSE,Rapport Aanvragen
Vehicle,adjective,,TRUE,
vehicle,noun,,TRUE,voertuig
Alert Rate,adjective,,FALSE,Waarschuwingspercentage
Alert Rates,adjective,,FALSE,Waarschuwingspercentages
Get Data,adjective,,FALSE,Data Ophalen
First Time Drive Data Received,adjective,,FALSE,Eerste Keer Rijgegevens Ontvangen
Last Time Drive Data Received,adjective,,FALSE,Laatste Keer Rijgegevens Ontvangen
Accessory Health Report,adjective,,FALSE,Accessoirestatusrapport
Issue Type,adjective,,FALSE,
Fuel Coaching,,,FALSE,Brandstofcoaching
Driver Coaching Session,,,FALSE,Coachingsessie Bestuurder
Impact of Alerts on Greenzone Score,,,FALSE,Invloed van Waarschuwingen op GreenZone-Score
Safety and Fleet Manager,,,FALSE,Veiligheids- en Wagenparkbeheerder
Speeding Alert,,,TRUE,Waarschuwing voor Snelheidsovertreding
Speeding Alerts,,,TRUE,Snelheidswaarschuwingen
speeding alert,,,TRUE,snelheidswaarschuwing
Allowance,,,TRUE,
Alert Timing,,,TRUE,Waarschuwingstiming
Fleets,,,TRUE,Wagenparken
fleet-specified,,,TRUE,door het wagenpark gespecificeerde
Speeding Alert Settings,,,FALSE,Waarschuwing voor Snelheidsovertreding Instellen
Speeding Detection,,,FALSE,Snelheidsdetectie
Driver Performance Ranking,,,FALSE,Ranglijst van Bestuurdersprestaties
Alert Risk Profile,,,FALSE,Risicoprofiel voor Waarschuwingen
Driver Login Edits,,,FALSE,Aanmeldingsinstellingen voor Bestuurders
Video Search Best Practices,,,FALSE,Best Practices voor Video Zoeken
Play All,,,TRUE,Alles Afspelen
Select Hierarchy,,,FALSE,Selecteer HiÃ«rarchie
Groups or All Hierarchies,,,FALSE,
Moderate,,,TRUE,Gemiddeld
Following Distance Hard Brake,,,TRUE,Volgafstand Hard Remmen
Seatbelt Compliance,,,TRUE,Naleving Veiligheidsgordel
Requested Videos,,,TRUE,Opgevraagde Video's
Driver Fuel Score,,,FALSE,Brandstofscore Bestuurder
Fleet Average,,,FALSE,Wagenparkgemiddelde
View New Profile,,,FALSE,Nieuw Profiel Weergeven
Tire Pressure Threshold,,,FALSE,Bandenspanningsdrempel
Video Activity Log Report,,,FALSE,Videoactiviteitenrapport
Video Request,,,FALSE,Videoaanvragen
Video Download,,,FALSE,Video Downloaden
Maintenance Dashboard,,,FALSE,Onderhoudsdashboard
Preventive Maintenance Inspection,,,TRUE,Preventieve Onderhoudsinspectie
Maintenance Schedules,,,FALSE,Onderhoudschema's
Driverâ€¢i Device Status,,,FALSE,Driverâ€¢i-Apparaatstatus
Vehicle Status,,,FALSE,Voertuigstatus
Creating Report Requests,,,FALSE,Rapportaanvragen Aanmaken
Subscribing to Reports,,,FALSE,Abonneren op Rapporten
Fleet-Based Access Control,,,FALSE,Toegangcontrole op Wagenparkbasis
Roll Stability Alert,,,FALSE,Waarschuwing voor Kantelstabiliteit
Advanced Driver Assistance System,,,FALSE,Geavanceerde Bestuurdersassistentiesysteem
Rollover Protection,,,FALSE,Kantelbeveiliging
Volume Added,,,TRUE,Toegevoegd Volume
Vehicle Maintenance,,,FALSE,Voertuigonderhoud
Total Alerts Generated,,,FALSE,Totaal Gegenereerde Waarschuwingen
Average Fuel Efficiency,,,TRUE,Gemiddeld Brandstofrendement
Idling Percentage,,,TRUE,Percentage Stationair Draaien
Fuel Dashboard,,,TRUE,Brandstofdashboard
Group Name,,,TRUE,Groepsnaam
Total Drivers,,,FALSE,Totaal Bestuurders
Distance Travelled,,,TRUE,Afgelegde Afstand
Drivers Below Fleet Fuel Goal,,,FALSE,Bestuurders Onder Brandstofdoel Wagenpark
Idling Time,,,TRUE,Stationair Draaien
Alerts Impacting Fuel Efficiency,,,FALSE,Waarschuwingen over BrandstofefficiÃ«ntie
Fuel Metrics Report,,,FALSE,Brandstofgegevensrapport
Vehicle Settings,,,TRUE,Voertuiginstellingen
Driver Alerts,,,TRUE,Bestuurderswaarschuwingen
Fleet managers,,,TRUE,Wagenparkmanagers
Virtual Coaching Rapport,,,FALSE,Virtueel Coachingsrapport
Virtual Coaching Session,,,TRUE,Virtuele Coachingsessie
Virtual Coaching Sessions,,,TRUE,Virtuele Coachingsessies
Virtual Coaching Report,,,TRUE,Virtueel Coachingsrapport
Please Stay Alert,,,FALSE,Blijf Alstublieft Alert
Moderate Alerts,,,TRUE,Gemiddelde waarschuwingen
audio alert message,,,TRUE,audiowaarschuwing
Disassociate Driver,,,TRUE,Bestuurder Loskoppelen
Disassociate D-HubX,,,TRUE,D-HubX Loskoppelen
Custom Driver Vehicle Inspections,,,FALSE,Aangepaste Voertuiginspecties door de Bestuurder
Driver Vehicle Inspections,,,FALSE,Voertuiginspecties door de Bestuurder
Comparison Report,,,FALSE,Vergelijkingsrapport
High Resolution Telematics Device Voltage,,,FALSE,Spanning van het Hi-Res Telematica-Apparaat
Expanded Alert Videos,,,FALSE,Uitgebreide Waarschuwingsvideo's
Video Throttling,,,TRUE,Videobeperking
Safety Normalization Factor,,,FALSE,Veiligheidsnormalisatiefactor
Search by Location,,,TRUE,Zoeken op Locatie
Applicable to All,,,TRUE,Overal van Toepassing
Driverâ€¢i Marketplace,,,FALSE,Driverâ€¢i Marketplace
Denied,,,TRUE,Afgewezen
Watchlist,,,TRUE,Volglijst
Latest Action Taken,,,TRUE,Laatst Ondernomen Actie
Edit Role,,,FALSE,Rol Bewerken
Vehicle Diagnostics,,,FALSE,Voertuigdiagnostiek
Heads Up,,,FALSE,Let Op
Exception Rule Edit,,,FALSE,Regel Bewerken
Fleet Time Zone,,,FALSE,tijdzone van het wagenpark
Exterior,,,TRUE,Exterieur
Road Test,,,TRUE,Rijtest
Engine Bay,,,TRUE,Motorruimte
Interior,,,TRUE,Interieur
Inspection Template,,,TRUE,Inspectiesjabloon
Daily Default Look Back Duration,,,TRUE,Dagelijkse Standaard Terugkijkduur
Active Device Report,,,TRUE,Rapport Actieve Apparaten
Parent Templates,,,TRUE,Bovenliggende Sjablonen
Preventive Maintenance,,,TRUE,Preventief Onderhoud
Preventive Maintenance Inspections,,,TRUE,Preventieve Onderhoudsinspecties
Audio Recording,,,TRUE,Audio-Opname
Parent Schedules,,,TRUE,Bovenliggende Schema's
Blank Schedule,,,TRUE,Blanco Schema
Include Specific Drivers,,,TRUE,Specifieke Bestuurders Opnemen
Personalized Learning,,,TRUE,Gepersonaliseerd Leren
Lane Deviation,,,TRUE,Rijstrookafwijking
Distracted Driving Lane Departure Alerts,,,TRUE,Waarschuwingen voor Rijbaanafwijking door Afleiding
Most Recent Action Taken,,,TRUE,Meest Recente Handeling
Preventative Maintenance,,,TRUE,Preventief Onderhoud
Health Status,,,TRUE,Status
Connection Status,,,TRUE,Verbindingsstatus
Next Action On,,,FALSE,Volgende Actie Op
Comments,,,TRUE,Opmerkingen
Mark as Completed,,,TRUE,Markeren als Voltooid
Foward Collision Warning,,,TRUE,Waarschuwing voor Botsing aan de Voorzijde
Forward Collision Warning,,,TRUE,Waarschuwing voor Botsing aan de Voorzijde
Live Management,,,TRUE,Live Beheer
drowsiness,,,TRUE,vermoeidheid
Driver Assistance alerts,,,TRUE,Driver Assistance-waarschuwingen
alert video,,,TRUE,waarschuwingsvideo
External Monitory Alert,,,TRUE,Externe Controlewaarschuwing
Driver Report Card,,,TRUE,Bestuurdersrapportkaart
Quick Stats,,,TRUE,Basisstatistieken
Apply Changes,,,TRUE,Wijzigingen Toepassen
Before you Begin,,,TRUE,Voordat je Begint
Fleet Unique Identifier,,,TRUE,Wagenparkidentificatiecode
Non-Functional,,,TRUE,Niet-Functioneel
Device Summary,,,FALSE,Apparaatoverzicht
Hardware Status,,,TRUE,Hardwarestatus
Edit DVIR,,,TRUE,DVIR Bewerken
Edit Schedule,,,TRUE,Schema Bewerken
Modified Score,,,TRUE,Herberekende Score
View by Level,,,TRUE,Weergeven op Niveau
Last Response Date,,,FALSE,Recentste Responsdatum
Alert Management,,,TRUE,Waarschuwingsbeheer
Critical Defect,,,TRUE,Kritieke Fout
Quick Navigation,,,TRUE,Snelle Navigatie
Vehicle Group,,,TRUE,Voertuiggroep
In-Cab Event Type,,,TRUE,Type Cabinegebeurtenis
Tire Pressure Monitoring,,,TRUE,Bandenspanningscontrole
Vehicle Profile Page,,,FALSE,Voertuigprofielpagina
Pending Communication,,,TRUE,Openstaande Communicatie
Last Responded Date,,,FALSE,Recentste Responsdatum
Drowsiness Indicators Measured,,,TRUE,Gemeten Vermoeidheidsindicatoren
Before You Start,,,TRUE,Voordat Je Begint
Case reference number,,,TRUE,Dossiernummer
List All Vehicles,,,TRUE,Alle Voertuigen Weergeven
Virtual Coaching Session ID,,,FALSE,Sessie-id Virtuele Coaching
Luma Brighter Learning,,,TRUE,Luma Brighter Learning
Lane Violation Alert,,,TRUE,Waarschuwing voor Rijstrookovertreding
Video Uploads,,,TRUE,Video-Uploads
Account Notification Preferences,,,FALSE,Meldingsvoorkeuren voor Accounts
Extended Eye Closure,,,TRUE,Langdurige Oogsluiting
Drowsy Lane Deviation,,,TRUE,Rijstrookafwijking door Vermoeidheid
Edit Vehicle Association,,,TRUE,Voertuigkoppeling Bewerken
Drowsy Management Dashboard,,,TRUE,Dashboard voor Vermoeidheidsbeheer
Customer and Partner Audiences,,,TRUE,Klant- en Partnerdoelgroepen
Vehicle Type,,,TRUE,Voertuigtype
Vehicle Configuration Report,,,TRUE,Voertuigconfiguratierapport
Allow Others to Join,,,TRUE,Anderen Toestaan
Maintenance Tracking,,,TRUE,Onderhoudsregistratie
Drive Time,,,TRUE,Rijtijd
Excessive Blinking,,,TRUE,Overmatig Knipperen
Slow Blinking,,,TRUE,Langzaam Knipperen
Group Access Report,,,TRUE,Groepstoegangsrapport
Fill Ups,,,TRUE,Tankbeurten
Vehicle Data,,,TRUE,Voertuigdata
Vehicle Associations,,,TRUE,Voertuigkoppelingen
Health Reporting,,,TRUE,Statusrapportage
Direct Customers and Resellers,,,TRUE,Directe Klanten en Wederverkopers
Drowsy Dashboard,,,TRUE,Vermoeidheidsdashboard
Help Section Link,,,TRUE,Link Helpsectie
the fleet,,,TRUE,het wagenpark
the vehicle,,,TRUE,het voertuig
fleet,,,TRUE,wagenpark
Driverâ€¢i Portal,,,TRUE,Driverâ€¢i-Portaal
Pre-Trip Inspection,,,TRUE,Inspectie Voor Vertrek
Post-Trip Inspection,,,TRUE,Inspectie Na Aankomst
Odometer,,,TRUE,
New Accessory,,,TRUE,Nieuw Accessoire
Previously Installed,,,TRUE,Eerder GeÃ¯nstalleerd
Driver Fuel Efficiency Metrics Drilldown,,,TRUE,Brandstofstatistieken van de Bestuurder
One-Time Sync Look Back Duration,,,TRUE,Terugkijktijd Eenmalige Synchronisatie
Tenant,,,TRUE,Tenant
Terms and Conditions,,,TRUE,Algemene Voorwaarden
Date and Time,,,TRUE,Datum en Tijd
Go to API Access,,,TRUE,Naar API-Toegang
External User Notifications,,,TRUE,Meldingen Externe Gebruiker
All Drivers,,,TRUE,Alle Bestuurders
Include Annotation,,,TRUE,Annotatie Toevoegen
Overview,,,TRUE,Overzicht
Positive Alerts,,,TRUE,Positieve Waarschuwingen
Vehicle Stopped Duration,,,TRUE,Stilstandduur Voertuig
No Action Required,,,TRUE,Geen Actie Vereist
Create Users,,,TRUE,Gebruikers Aanmaken
Driverâ€¢i Device Mobile Hotspot Setup Guide,,,TRUE,Driverâ€¢i-Handleiding voor Mobiele Hotspots
Hard Turning,,,TRUE,Scherpe Bocht
Connection Successful,,,TRUE,Verbinding Geslaagd
Received Sessions,,,TRUE,Ontvangen Sessies
Communications Category,,,TRUE,Mededelingencategorie
Pending Installation,,,TRUE,In Afwachting van Installatie
Vehicle Speed,,,TRUE,Voertuigsnelheid
Driver Safety Reports,,,TRUE,Bestuurdersveiligheidsrapporten
In Service,,,TRUE,In Gebruik
Not In Service,,,TRUE,Niet in Gebruik
Assumed Not In Service,,,TRUE,Niet in Gebruik (Verondersteld)
Parent Fleet,,,TRUE,Bovenliggend Wagenpark
Event Access Videos,,,TRUE,Gebeurtenistoegangsvideo's
Distance Driven,,,TRUE,Gereden Afstand
Add App,,,TRUE,App Toevoegen
In Review,,,TRUE,In Behandeling
Pending,,,TRUE,In Afwachting
Requested Video Alert,,,TRUE,Verzoek voor Videowaarschuwing
Mobile Hotspot and Tethering,,,TRUE,Mobiele Hotspot en Tethering
View Drivers,,,TRUE,Bestuurders Bekijken
View Vehicles,,,TRUE,Voertuigen Bekijken
View Users,,,TRUE,Gebruikers Bekijken
Not Repaired,,,TRUE,Niet Gerepareerd
Outward Camera,,,TRUE,Buitencamera
Fleet Ops,,,TRUE,Fleet Ops
Driver Intervention,,,TRUE,Bestuurdersinterventie
Repair Required for Safe Operation,,,TRUE,Reparatie Vereist voor Veilig Gebruik
Introduction to Vehicles,,,TRUE,Inleiding tot Voertuigen
Brake Pedal Position,,,TRUE,Positie van het Rempedaal
Virtual Coaching Summary,,,TRUE,Overzicht Virtuele Coaching
Application Type,,,TRUE,Applicatietype
Individual Alerts,,,TRUE,Individuele Waarschuwingen
Alert Hover Preview,,,TRUE,Voorbeeldvenster voor Waarschuwingen
Driving Classification Column,,,TRUE,Kolom voor Rijclassificatie
Driver Profile Overview,,,TRUE,Overzicht Bestuurdersprofiel
View Vehicle Details,,,TRUE,Voertuigdetails Bekijken
Throttle Valve Position,,,TRUE,Gasklepstand
Accelerator Pedal Position,,,FALSE,Gaspedaalpositie
Virtual Coaching Session Detail,,,TRUE,Details Virtuele Coachingsessie
Add Client,,,TRUE,CliÃ«nt Toevoegen
Unknown/Ungrouped,,,TRUE,Onbekend/Niet-Gegroepeerd
Driver-Initiated Alert Button,,,FALSE,Knop voor Bestuurderswaarschuwingen
Include Deactivated Alert Geofences,,,TRUE,Inclusief Gedeactiveerde Geofences voor Waarschuwingen
Under Investigation,,,TRUE,Wordt Onderzocht
Vehicle Stop Filter,,,TRUE,Voertuigstopfilter
Fleet Actionable Driverâ€¢i Devices,,,TRUE,Driverâ€¢i-Apparaten met Actiepunten
Moderate Drowsy Alerts,,,TRUE,Gemiddelde Vermoeidheidswaarschuwingen
List View,,,TRUE,Lijstweergave
HH:MM formaat,,,TRUE,UU:MM-formaat
Driver-i,,,FALSE,Driverâ€¢i
Haptic Feedback Alerts,,,TRUE,Haptische Feedbackwaarschuwingen
Severe Weather Alert,,,FALSE,Waarschuwing voor Zwaar Weer
Point-of-Risk,,,FALSE,Risicopunt
Haptic Feedback,,,TRUE,Haptische Feedback
In Violation,,,TRUE,In Overtreding
Severe Weather Alerts,,,TRUE,Waarschuwingen voor Zwaar Weer
Privacy Camera Control,,,TRUE,Cameraprivacy
Haptic Alerts,,,TRUE,Haptische Waarschuwingen
Vehicle Data Service,,,TRUE,Voertuigdataservice
Need Further Assistance,,,TRUE,Meer Hulp Nodig
Network Health,,,FALSE,Netwerkstatus
Request Return,,,TRUE,Retourverzoek
Change Password,,,TRUE,Wachtwoord Wijzigen
Confirm Password,,,TRUE,Wachtwoord Bevestigen
Use System Default Configuraitons,,,TRUE,Standaard Systeemconfiguratie Gebruiken
Shared Alerts,,,TRUE,Gedeelde Waarschuwingen
Driver Assigned Training,,,TRUE,Toegewezen Bestuurderstraining
Add Conclusion Notes,,,TRUE,Afsluitende Opmerkingen Toevoegen
